id;name;value;cases
343;Ribes De Freser-Campdevànol;NaN;0
344;Sabadell 4-A;395.7;48
345;Sabadell 4-B;410.1;63
346;Sant Joan Les Fonts;98.4;4
347;Vall D'En Bas;65;4
348;Mollet Del Vallès-Est;350.6;84
349;Mollet Del Vallès-2 Oest;496.7;88
350;Vic-1 Nord;363.3;88
351;Vic-2 Sud;232.4;41
352;Tarragona-7 (Sant Salvador);44.9;5
353;Vilassar De Dalt;210.5;28
354;La Selva Del Camp;42.4;3
355;La Roca Del Vallès;188.2;14
356;Terrassa-G;153.2;28
357;Calafell;41;8
358;Barcelona 6-E;251.6;73
359;Cubelles-Cunit;124.1;26
360;Martorell Rural;110.9;25
361;El Masnou-Alella;214.6;49
362;Ocata-Teià;150;19
363;Sant Quirze Del Vallès;569.3;74
364;Tarragona-8;37.4;5
365;Castelldefels-1;259.4;60
366;Castelldefels-2;183;38
367;Pallejà;194.5;17
368;Santa Coloma De Gramenet 6;239.2;29
369;Corbera De Llobregat;45.6;7
370;Abrera;110.6;8
371;Igualada-1;567.9;103
372;Igualada-2;626.1;111
373;Begues;202.5;13
374;Sant Vicenç Dels Horts-1;110;16
375;Sant Vicenç Dels Horts-2;49.6;5
376;Alt Mogent;125.3;33
377;Roda De Ter;214.4;21
378;Rubí -3;211.4;23
379;Lleida 7 Onze De Setembre;118.9;18
380;Vilanova I La Geltrú 3;68.9;11
381;Montcada I Reixac - 1;319.6;83
382;Montcada I Reixac - 2;319.6;83
383;Barcelona 3-H;221.7;39
384;Cerdanyola-Ripollet;315.5;27
385;Barcelona 8J;323.2;92
386;Ripollet-1;288.6;49
387;Ripollet-2;317.6;35
388;Sant Cugat Del Vallès-1;200.1;45
389;Sant Cugat Del Vallès-2;220;58
390;Sant Cugat Del Vallès-3;296.3;42
391;Palau-Solità I Plegamans;176.5;19
392;Polinyà-Sentmenat;219.9;23
393;Ribes-Olivella;109.5;14
394;Roquetes-Canyelles;83.7;10
395;Barcelona 9-H;245.7;79
396;Barcelona 9-I;306.8;78
397;Vilafranca Del Penedès 1;65.5;11
398;Vilafranca Del Penedès 2;57.2;9
399;Castellbisbal;186.6;52
400;Barcelona - 3I;291.4;64
401;Viladecans 3;708.8;117
402;Barcelona - 8K;323.3;65
403;Barcelona - 8L;448;126
