"name","negative","positive"
Montesquiu,4,10
Muntanyola,3,1
Olost,1,4
Orís,1,3
Oristà,0,2
Prats de Lluçanès,17,5
Roda de Ter,32,23
Rupit i Pruit,0,2
Sant Bartomeu del Grau,3,1
Sant Boi de Lluçanès,6,0
Sant Hipòlit de Voltregà,19,24
Sant Julià de Vilatorta,19,26
Sant Martí de Centelles,5,1
Sant Pere de Torelló,4,10
Sant Quirze de Besora,4,11
Sant Vicenç de Torelló,5,7
Santa Eugènia de Berga,11,9
Santa Eulàlia de Riuprimer,8,16
Seva,11,6
Sora,1,1
Taradell,42,32
Tavèrnoles,1,0
Tona,54,40
Torelló,41,58
Vic,232,238
Viladrau,3,0
Vilanova de Sau,1,1
Conca de Dalt,1,2
Gavet de la Conca,2,3
Isona i Conca Dellà,5,1
La Pobla de Segur,22,50
Llimiana,1,0
Salàs de Pallars,1,2
Senterada,1,0
Talarn,2,0
Tremp,48,13
Alins,1,0
Alt Àneu,1,1
Espot,0,2
Esterri d'Àneu,0,3
La Guingueta d'Àneu,0,2
La Vall de Cardós,1,0
Llavorsí,1,0
Rialp,1,1
Sort,9,5
Banyoles,84,61
Camós,2,2
Cornellà del Terri,11,5
Crespià,0,1
Esponellà,5,1
Fontcoberta,10,2
Palol de Revardit,1,1
Porqueres,20,11
Sant Miquel de Campmajor,1,0
Serinyà,10,3
Vilademuls,4,0
Barbens,7,2
Bell-Lloc d'Urgell,9,11
Bellvís,5,4
Castellnou de Seana,3,0
El Palau d'Anglesola,9,3
El Poal,0,1
Fondarella,5,1
Golmés,4,2
Ivars d'Urgell,1,0
Linyola,8,0
Miralcamp,3,3
Mollerussa,31,23
Sidamon,1,2
Torregrossa,3,6
Vilanova de Bellpuig,5,2
Vila-Sana,4,0
Bellmunt del Priorat,4,0
Cabacés,2,0
Capçanes,1,0
Cornudella de Montsant,3,2
El Masroig,2,1
El Molar,2,0
Els Guiamets,4,0
Falset,19,2
La Morera de Montsant,1,0
La Vilella Alta,1,0
Marçà,4,0
Margalef,1,0
Poboleda,1,0
Porrera,4,0
Ulldemolins,1,0
Ascó,4,1
Benissanet,3,0
Flix,13,2
Garcia,1,1
