"id","name","cases","value"
280,Badalona  9 - Apenins-Montigalà,95,52.3
281,Badalona 10 - Nova Lloreda,51,49.2
282,Badalona 11 - Bufalà-Canyet,124,56.8
283,Badalona 12 - Morera-Pomar,64,51.8
284,Granollers 1 Oest - Canovelles,43,19.9
285,Granollers 2 Nord - Les Franqueses,66,23.8
286,Granollers 3 - Centre Est,94,31.1
287,Granollers 4 Sud - Sant Miquel,50,30.6
288,L'Hospitalet de Llobregat 1 - Centre,154,49.4
289,L'Hospitalet de Llobregat 2 -S.Josep,144,58.1
290,L'Hospitalet de Llobregat 3 - Collblanc,79,30.6
291,L'Hospitalet de Llobregat 4 Torrassa,74,26.5
292,L'Hospitalet de Llobregat 5-S.Eulàlia N.,135,65
293,L'Hospitalet de Llobregat 6-S.Eulàlia S.,169,69.7
294,L'Hospitalet de Llobregat 7-Florida N.,68,31
295,L'Hospitalet de Llobregat 8-Florida S.,63,27
296,L'Hospitalet de Llobregat 9-Pubilla C.,73,24.8
297,L'Hospitalet de Llobregat 10 - C.Serra,68,51.8
298,L'Hospitalet de Llobregat 11 - Gornal,41,49
299,L'Hospitalet de Llobregat 12 (Bellvitge),146,52.6
300,La Llagosta,43,29.8
303,Reus 1 - Sant Pere,24,17.8
304,Reus 1 - Sant Pere,46,16.8
305,Reus 3 - Llibertat,50,21.9
306,Reus 4 - Horts de Miró,44,21.6
307,Reus 5 - Barri Fortuny,45,17.3
309,Rubí 1,85,30.3
310,Rubí 2 - Anton Borja,116,46.4
311,Sant Adrià Del Besòs 1 - Dr. Barraquer,116,55.8
312,Sant Adrià Del Besòs 2 - La Mina,39,27
314,Baix Penedès - Interior,26,17.6
315,Vall del Tenes,99,28.1
316,Vilanova i La Geltrú 1,52,20.3
317,Vilanova i La Geltrú 2,56,22.6
319,Montgat - Tiana,74,38.1
320,Barberà del Vallès,134,44
322,Badia del Vallès,55,40.1
324,Vandellòs i L'Hospitalet de L'Infant,8,13.5
325,Pineda de Mar,23,7.5
326,Barcelona 7G - Guinardó,187,54
327,Barcelona 8I - Xafarines,105,55
328,L'Aldea - Camarles - L'Ampolla,7,5.5
329,Lleida Rural 2-Sud,15,19.5
330,Breda - Hostalric,31,24.7
331,Barcelona 10J - Verneda Sud,66,25.6
333,Alt Camp Oest,2,3.1
334,Almacelles,11,10.3
335,Sant Andreu De Llavaneres,44,22.6
336,Tordera,11,6.3
337,Capellades,74,68.5
338,Piera,77,45
339,Salou,29,12.5
340,Vila-Seca,18,11.2
341,Badalona 7A - Gran Sol,100,52.4
342,Badalona 7B - La Salut,67,38.8
343,Ribes De Freser-Campdevànol,11,19.2
344,Sabadell 4A - Concòrdia,72,46
345,Sabadell 4B - Can Rull,133,60.8
346,Sant Joan Les Fonts,20,39.5
347,Vall d'En Bas,16,25
348,Mollet del Vallès 1 - Est,178,65.4
349,Mollet del Vallès 2 - Oest,155,69.9
350,Vic 1 - Nord,137,52.1
351,Vic 2 - Sud (El Remei),98,42.4
352,Tarragona 7 - Sant Salvador,42,50.3
353,Vilassar de Dalt,36,20.8
354,La Selva del Camp,10,12.7
355,La Roca del Vallès,25,24.2
356,Terrassa G - Sud,92,38.4
357,Calafell,31,12.6
358,Barcelona 6E - La Salut,97,37
359,Cubelles-Cunit,51,18.1
360,Martorell Rural,96,41.3
361,El Masnou-Alella,88,35.1
362,Ocata-Teià,33,21.4
363,Sant Quirze del Vallès,148,96.7
364,Tarragona 8 - Muralles,12,7.2
365,Castelldefels 1 - El Castell,103,30.1
366,Castelldefels 2 - Can Bou,60,22.5
367,Pallejà,39,37.1
368,Santa Coloma de Gramenet 6,71,37.4
369,Corbera de Llobregat,46,30.1
370,Abrera,34,37.1
371,Igualada-1,148,70.3
372,Igualada-2,147,71.7
373,Begues,19,31.8
374,Sant Vicenç dels Horts 1 - Vila Vella,53,25.3
375,Sant Vicenç dels Horts  2 - El Serral,26,22.9
376,Alt Mogent,90,44.3
377,Roda de Ter,42,40.6
378,Rubí -3,87,76.1
379,Lleida 7 Onze de Setembre,46,26.8
380,Vilanova i La Geltrú 3,49,24.5
381,Montcada i Reixac - 1,90,40.3
